frame,good_matches,inliers
1,3170,3062
2,3167,3066
3,3209,3113
4,3181,3091
5,3183,3064
6,2813,2612
7,2694,2274
8,110,46
9,90,22
10,465,226
11,985,644
12,923,510
13,210,80
14,1519,1072
15,1570,1170
16,1340,950
17,1478,1097
18,277,127
19,967,589
20,1076,699
21,898,593
22,541,306
23,1221,882
24,433,240
25,991,562
26,763,425
27,907,545
28,667,349
29,545,292
30,600,329
31,815,502
32,895,598
33,874,558
34,1125,723
35,781,512
36,1174,857
37,299,151
38,1626,1190
39,1545,1207
40,610,375
41,489,259
42,269,120
43,672,399
44,618,368
45,277,130
46,1434,1055
47,854,551
48,436,247
49,677,454
50,269,139
51,1164,830
52,1631,1327
53,1749,1386
54,1480,1072
55,1491,1024
56,1498,1123
57,1706,1400
58,1633,1191
59,1638,1189
60,841,528
61,641,385
62,1798,1407
63,2087,1578
64,1944,1512
65,1344,920
66,1496,1070
67,1595,1172
68,1616,1226
69,1481,1110
70,1662,1282
71,1536,1064
72,1690,1212
73,1462,1002
74,1453,1007
75,1400,977
76,823,451
77,723,380
78,927,554
79,936,577
80,755,449
81,977,626
82,912,559
83,1136,769
84,1067,643
85,970,635
86,878,513
87,828,505
88,1157,715
89,1339,842
90,1462,997
91,1514,1050
92,1643,1225
93,914,607
94,1118,793
95,2169,1771
96,2231,1828
97,627,377
98,883,590
99,1599,1242
100,1925,1495
101,1812,1465
102,565,344
103,1312,964
104,487,304
105,2216,1855
106,1265,921
107,749,521
108,1340,975
109,1112,833
110,1037,682
111,982,570
112,1230,886
113,1154,793
114,1184,767
115,1079,633
116,1149,811
117,391,176
118,1617,1208
119,1833,1440
120,1732,1275
121,460,212
122,948,619
123,938,572
124,315,127
125,1416,1038
126,412,195
127,904,564
128,869,529
129,798,412
130,855,524
131,1052,730
132,959,655
133,1072,780
134,691,422
135,444,250
136,718,464
137,887,621
138,2014,1582
139,2374,2073
140,2254,1916
141,2001,1573
142,2140,1799
143,2231,1861
144,1990,1680
145,963,630
146,1342,959
147,967,697
148,389,215
149,2109,1747
150,2272,1908
151,1821,1492
152,2337,2022
153,2147,1799
154,2225,1888
155,1998,1660
156,1757,1372
157,2022,1595
158,1986,1641
159,722,433
160,1325,947
161,1274,913
162,1372,938
163,1092,716
164,974,615
165,1043,716
166,1389,1049
167,1128,804
168,446,261
169,945,651
170,991,737
171,988,638
172,1256,884
173,1297,895
174,1261,961
175,894,544
176,950,608
177,1097,699
178,1143,757
179,1146,820
180,1069,743
181,1208,836
182,1188,859
183,1200,815
184,1111,717
185,968,654
186,846,588
187,1175,793
188,1129,808
189,1263,916
190,1161,849
191,1008,665
192,1124,726
193,1043,700
194,817,511
195,1161,848
196,974,656
197,1167,835
198,1029,670
199,1000,674
200,1006,728
201,1185,904
202,1214,871
203,1114,823
204,597,386
205,1970,1630
206,2248,1897
207,2008,1645
208,2061,1725
209,2176,1809
210,2279,1939
211,2278,1882
212,2157,1672
213,2389,2140
214,2184,1768
215,2276,1860
216,2149,1770
217,2104,1701
218,2243,1871
219,2076,1704
220,2118,1760
221,1188,848
222,1146,848
223,1434,1034
224,872,569
225,1048,769
226,2200,1887
227,2167,1915
228,2066,1735
229,2067,1696
230,2133,1824
231,2021,1621
232,2185,1838
233,2319,2075
234,2105,1814
235,2263,1963
236,2105,1847
237,1903,1461
238,2068,1727
239,2077,1710
240,2161,1793
241,2114,1782
242,2075,1670
243,2252,1908
244,2128,1760
245,2269,1934
246,2277,2010
247,451,269
248,1361,1025
249,1331,935
250,1138,788
251,1320,1009
252,984,647
253,1394,1096
254,710,493
255,1490,1118
256,2070,1789
257,1958,1593
258,2191,1887
259,2127,1862
260,2040,1712
261,2045,1692
262,2001,1753
263,1868,1553
264,2030,1708
265,1953,1605
266,2070,1734
267,967,656
268,358,220
269,1209,886
270,1241,821
271,815,560
272,659,395
273,1134,778
274,833,492
275,1864,1413
276,1822,1415
277,1681,1310
278,2101,1788
279,2043,1704
280,1984,1574
281,1214,863
282,373,221
283,1528,1154
284,1388,1019
285,668,414
286,991,679
287,2088,1708
288,1814,1423
289,2159,1876
290,2052,1691
291,2067,1731
292,2161,1749
293,2017,1685
294,2124,1732
295,1448,964
296,1645,1193
297,1804,1538
298,2092,1739
299,1973,1720
300,2029,1734
301,1944,1523
302,1743,1323
303,2186,1872
304,1834,1528
305,1876,1402
306,1734,1250
307,559,330
308,1305,880
309,996,664
310,940,610
311,1656,1269
312,1837,1461
313,1790,1438
314,1721,1287
315,1812,1457
316,1584,1104
317,1483,1094
318,510,282
319,920,601
320,1042,686
321,881,562
322,1019,669
323,877,546
324,955,612
325,1012,684
326,926,566
327,878,534
328,1002,677
329,1388,1047
330,1218,804
331,1312,853
332,1336,939
333,1316,942
334,1522,1185
335,1389,983
336,1488,1052
337,1169,760
338,1532,1115
339,1468,1047
340,1060,708
341,1242,848
342,1557,1151
343,1444,1026
344,1512,1175
345,1207,864
346,1319,891
347,1292,889
348,1319,897
349,1492,1137
350,1444,1103
