frame_idx,rot_err_deg,trans_err
0,90,nan
1,0.638247,1.99986
2,1.51472,1.99808
3,1.13641,1.99999
4,1.16904,1.99816
5,1.16669,1.99939
6,3.63601,1.99995
7,1.24674,1.99924
8,1.26608,1.9998
9,1.29754,1.99954
10,1.28943,1.99959
11,1.38193,1.99968
12,1.26801,1.99867
13,1.46057,1.9981
14,2.55008,1.9999
15,1.37633,1.99867
16,1.36375,1.99967
17,1.31333,1.997
18,1.15561,1.99958
19,1.06404,1.99935
20,2.16562,1.9998
21,0.445108,1.99757
22,0.707791,1.99983
23,0.707231,1.99964
24,0.438568,1.99996
25,0.318646,1.99918
26,0.148891,1.99996
27,0.111141,1.9995
28,0.252649,1.99887
29,0.347904,1.99942
30,0.480246,1.9979
31,0.525238,1.99864
32,0.809472,1.99992
33,0.728702,1.99837
34,0.299843,1.99914
35,0.496373,1.99959
36,0.223427,1.99999
37,0.361266,1.99997
38,0.171379,1.9999
39,0.054666,1.9998
40,0.0665408,1.99976
41,0.219669,1.99919
42,0.314708,1.99999
43,0.948445,1.99992
44,0.602353,1.99947
45,0.660837,1.99921
46,0.753754,1.99985
47,1.71086,1.99944
48,0.961113,1.99966
49,0.975842,1.99991
50,1.86916,1.99943
51,2.43738,1.99943
52,2.92061,1.99987
53,0.606736,nan
54,1.15011,1.99992
55,1.37861,1.99899
56,2.45376,1.99988
57,1.3558,1.99924
58,1.23927,1.99977
59,3.30751,1.99956
60,0.661955,nan
61,1.34581,1.99841
62,1.39924,1.99691
63,3.3357,1.99947
64,0.688518,nan
65,1.16648,1.99997
66,3.83678,1.99978
67,1.12685,1.99967
68,0.830378,1.99844
69,0.583488,1.99967
70,0.369251,1.99814
71,0.186944,1.99899
72,0.0316956,1.99846
73,0.361312,1.99907
74,0.315034,1.99973
75,0.442026,1.999
76,0.538047,1.99981
77,0.583484,1.99957
78,0.655994,1.99976
79,1.56296,1.99978
80,1.90204,1.99975
81,0.922688,1.99951
82,0.97203,1.99864
83,2.25363,1.9999
84,1.00165,1.99952
85,3.76503,1.99975
86,1.09822,1.99915
87,1.22334,1.99867
88,2.39706,1.99969
89,1.34828,1.99988
90,1.35701,1.99968
91,2.62509,1.99993
92,2.61524,1.99882
93,1.33066,1.99914
94,1.42928,1.99918
95,1.36324,1.99976
96,1.28081,1.99936
97,2.62116,1.99897
98,1.44531,1.99954
99,4.29527,1.99957
100,1.10739,1.99894
101,1.57266,1.99783
102,1.31776,1.99948
103,1.52829,1.99904
104,1.30371,1.99839
105,1.41525,1.99881
106,1.48067,1.99963
107,1.03757,1.99977
108,1.62213,1.99943
109,1.25716,1.99933
110,1.37239,1.99942
111,1.47887,1.99918
112,3.03238,1.99969
113,1.39759,1.99948
114,1.39929,1.99883
115,1.41469,1.99976
116,1.18844,1.99985
117,2.84464,1.99911
118,1.32636,2
119,1.68147,1.99898
120,1.40118,1.99984
121,1.46279,1.99989
122,2.79759,1.99915
123,1.40443,1.99995
124,2.85216,1.99941
125,2.61593,1.99978
126,1.49194,1.99996
127,1.34333,1.99963
128,1.62372,1.99858
129,2.71312,1.99957
130,1.46079,1.99948
131,2.77097,1.99939
132,1.5515,1.99998
133,1.33361,1.99987
134,1.11076,1.9999
135,2.97674,1.99966
136,1.35242,1.99806
137,1.41993,1.99948
138,1.49484,1.99891
139,1.49638,1.99791
140,1.27991,1.99885
141,1.49005,1.99855
142,1.56436,1.99751
143,1.25657,1.99861
144,1.32525,1.99969
145,1.41342,1.99992
146,1.70246,1.99963
147,1.41149,1.99824
148,1.41216,1.99976
149,1.41401,1.99953
150,1.41384,1.99937
151,2.63112,1.99899
152,1.33674,1.99812
153,1.78243,1.99879
154,1.34572,1.99896
155,2.7024,1.9997
156,2.7588,1.99959
157,1.34598,1.99625
158,1.41351,1.99945
159,1.26936,1.99847
160,1.84163,1.99925
161,2.9166,1.99954
162,1.34351,1.99843
163,1.40872,1.99813
164,1.20312,1.99967
165,1.62489,1.99832
166,1.12433,1.99842
167,2.61422,1.99863
168,1.63744,1.99953
169,1.33221,1.99653
170,1.70869,1.99965
171,1.49448,1.99981
172,1.42633,1.99966
173,1.42742,1.99996
174,1.48297,1.99956
175,1.35361,1.99997
176,1.41424,1.99934
177,1.20282,1.99987
178,1.49996,1.99917
179,1.40677,1.99798
180,1.27078,1.99971
181,2.83952,1.99988
182,1.42318,2
183,1.33916,1.99947
184,1.70572,1.99974
185,1.27597,1.99988
186,1.3345,1.99884
187,1.26975,1.9994
188,1.55268,1.99881
189,1.36053,1.99921
190,1.77055,1.99977
191,1.42446,1.99992
192,1.42489,1.99989
193,1.35608,1.99994
194,1.4068,1.99899
195,1.20056,1.99798
196,1.07948,1.99864
197,0.96677,1.99104
198,0.874269,1.99621
199,0.722328,1.99915
200,0.682895,1.99919
201,1.35319,1.99909
202,0.512753,1.99566
203,0.899651,1.99883
204,0.379641,1.99361
205,0.330653,1.99877
206,0.292519,1.99545
207,0.509494,1.99912
208,0.199098,1.99499
209,0.169823,1.99879
210,0.233849,1.99762
211,0.362469,1.99487
212,0.47947,1.9994
213,0.589623,1.99955
214,0.576647,1.99814
215,0.711473,1.99805
216,0.720272,1.9889
217,1.30441,1.99151
218,0.417613,nan
219,0.829981,1.99577
220,1.15847,1.99579
221,1.04445,1.99967
222,2.16904,1.99995
223,1.69865,1.99954
224,0.547769,nan
225,1.18738,1.99986
226,1.26476,2
227,1.1427,1.99763
228,1.24248,1.99926
229,1.21472,1.99573
230,1.24795,1.99905
231,1.21804,1.99762
232,1.07926,1.99998
233,0.891811,1.99322
234,0.699512,1.98628
235,0.649285,1.99494
236,0.294914,1.99639
237,0.239206,1.99988
238,0.075695,1.9997
239,0.0710302,1.99902
240,0.246587,1.99654
241,0.309656,1.99844
242,0.497525,1.99872
243,0.53403,1.99951
244,0.539965,1.9976
245,0.786017,1.99795
246,0.715905,1.9997
247,0.7281,1.999
248,1.06702,1.99722
249,0.822192,1.99717
250,1.04857,1.99939
251,1.06975,1.99839
252,1.08478,1.99908
253,2.24038,1.99969
254,2.31854,1.99994
255,1.17899,1.99868
256,2.46282,1.99991
257,1.25609,1.99978
258,1.27754,1.99969
259,1.28621,1.99996
260,1.28881,1.99985
261,2.62563,1.99998
262,1.34331,1.99985
263,1.14436,1.99971
264,1.47674,1.99994
265,1.42133,1.99987
266,1.30728,1.9985
267,3.97464,1.99987
268,1.32614,1.99773
269,1.45639,1.99993
270,1.31662,1.99913
271,1.3439,1.99735
272,1.3918,1.99723
273,1.40918,1.99931
274,1.33034,1.99716
275,1.88796,1.99922
276,1.32813,1.99918
277,1.40395,1.99814
278,1.41619,1.99673
279,1.40249,1.99926
280,1.40763,1.99909
281,1.40814,1.99936
282,1.34903,1.99856
283,1.46761,1.98762
284,1.2683,1.9986
285,1.40669,1.99601
286,3.67971,1.99971
287,0.699841,nan
288,1.18856,1.99973
289,1.49422,1.99951
290,4.32116,1.99964
291,1.34611,1.99981
292,1.12893,1.99943
293,1.6986,1.99918
294,1.40138,1.99852
295,1.54646,1.99781
296,1.345,1.99757
297,1.34955,1.99968
298,1.3415,1.99973
299,1.41869,1.99871
300,1.62853,1.99801
301,1.18806,1.99664
302,1.55239,1.99837
303,1.28227,1.99859
304,1.56612,1.99953
305,2.72557,1.99783
306,1.64117,1.99803
