frame_idx,rot_err_deg,trans_err
0,135.619,0.336611
1,4.25567,1.59911
2,5.65454,1.07485
3,3.12454,nan
4,3.3014,1.43466
5,2.42775,1.26066
6,5.52033,1.39963
7,6.06053,1.34455
8,3.30733,1.09894
9,2.49614,1.26265
10,2.4252,1.10353
11,12.5009,1.32685
12,3.86729,1.41374
13,16.0573,1.31089
14,1.00955,1.01084
15,2.6862,nan
16,4.19026,1.12293
17,18.1955,1.32558
18,9.51288,1.22711
19,6.40869,1.30184
20,7.44569,1.56012
21,5.34507,1.29998
22,2.94271,1.51852
23,8.80257,1.32773
24,3.66082,1.20578
25,2.86652,1.35361
26,3.06406,1.26072
27,2.27983,1.40798
28,0.681355,1.1763
29,4.82414,1.53921
30,8.19769,1.31725
31,1.94808,1.18056
32,3.14528,1.64492
33,0.776148,1.0154
34,4.97335,1.37045
35,9.9628,nan
36,1.44619,1.07631
37,2.18602,0.933706
38,1.42724,1.24745
39,1.15723,1.19769
40,2.21132,1.46046
41,1.59825,1.37863
42,3.98445,1.35382
43,0.738064,0.997307
44,14.5736,1.14412
45,1.72554,1.09111
46,11.5594,1.14897
47,1.03766,0.919897
48,3.02048,1.30636
49,11.362,1.40959
50,5.91489,1.5063
51,4.90123,1.47247
52,5.85052,1.55426
53,1.59288,1.12874
54,1.51213,1.25351
55,0.541298,0.753986
56,1.69459,1.20125
57,4.40294,1.26914
58,7.62764,1.26539
59,3.48014,1.54488
60,3.48595,1.08932
61,5.29781,1.07548
62,0.524245,1.05143
63,0.817708,1.32038
64,2.82324,1.01829
65,1.40522,1.14949
66,4.93582,1.24541
67,5.63022,1.15844
68,3.16231,0.919965
69,17.8518,1.18205
70,5.55136,1.14604
71,1.53927,1.3247
72,1.36957,0.827051
73,5.77301,1.05683
74,7.57917,1.41639
75,6.21855,1.43056
76,3.82427,1.48478
77,9.22557,1.45198
78,6.60238,1.48152
79,1.30958,1.13454
80,1.03014,0.838168
81,8.22333,0.830742
82,8.79209,1.4504
83,2.22617,1.16106
84,9.06822,1.13803
85,1.63146,1.4421
86,1.87435,1.06336
87,2.80836,1.48612
88,0.0850964,0.198031
89,1.00626,1.13982
90,0.472588,0.417236
91,18.4916,1.33872
92,5.32008,1.31413
93,1.19933,0.980677
94,3.83431,1.27214
95,5.99164,1.48982
96,2.16222,1.241
97,1.65193,1.12129
98,6.34368,1.26787
99,9.73555,1.16102
100,3.93262,1.13416
101,1.00889,1.01423
102,2.22726,1.46766
103,7.45872,1.47406
104,0.360117,0.564438
105,6.31801,0.869556
106,0.511405,1.3569
107,0.644646,0.59433
108,0.924318,1.00012
109,4.34437,1.1866
110,7.76528,1.0435
111,1.51573,0.986333
112,0.824067,0.685473
113,6.15965,1.4098
114,4.31288,1.20768
115,0.753084,0.666376
116,15.6629,1.58157
117,4.80772,1.37938
118,3.7036,1.6304
119,3.36583,1.41977
120,5.03132,1.15819
121,3.21466,1.25478
122,1.87091,1.16981
123,3.84742,0.860261
124,4.28883,1.55865
125,6.53529,1.50283
126,3.16868,1.38254
127,2.87228,1.35935
128,4.28167,1.26087
129,13.3194,1.52536
130,3.09799,1.04876
131,4.02952,1.09668
132,2.87713,1.01943
133,7.38842,nan
134,1.94655,0.458801
135,5.6985,1.50298
136,5.32803,1.79092
137,5.55329,1.73105
138,4.14183,1.41163
139,1.25945,1.20408
140,0.867806,0.881024
141,1.23048,0.595241
142,2.43427,0.795118
143,4.55308,1.51933
144,4.47487,1.47282
145,1.69434,0.83457
146,0.337449,0.678498
147,1.60236,1.21549
148,2.25277,1.2134
149,1.1869,1.12189
150,1.41874,1.32974
151,0.577259,0.617822
152,1.41873,1.33324
153,3.20947,1.3422
154,2.08836,1.27223
155,7.5765,1.3727
156,1.20498,1.06949
157,7.63054,1.71679
158,10.396,1.41172
159,4.91066,1.28255
160,0.823433,1.06563
161,10.3792,1.23878
162,0.745359,1.13221
163,2.72174,1.11478
164,2.54701,1.13394
165,0.833045,1.01704
166,10.1309,1.2312
167,4.14295,1.14277
168,2.72638,1.40345
169,0.362896,0.37725
170,2.21543,1.10186
171,4.19396,1.32594
172,6.73365,1.35199
173,4.85607,1.39733
174,1.84297,0.964093
175,0.202978,0.363606
176,1.11914,0.702083
177,0.776641,0.876899
178,0.884175,0.660079
179,2.066,1.37706
180,2.56844,1.29982
181,3.77925,0.987821
182,3.53645,1.01252
183,3.29063,1.3743
184,2.17181,1.26273
185,0.811809,1.32212
186,1.10083,1.11879
187,8.43468,1.47264
188,5.77432,0.955989
189,2.44842,1.15207
190,0.641889,0.989372
191,1.39877,0.952641
192,2.19176,1.46988
193,1.34321,1.503
194,6.63543,1.40628
195,7.0265,1.49013
196,1.37465,1.40576
197,4.85855,1.41208
198,2.85884,1.20508
199,0.478451,0.72587
200,13.137,1.4274
201,9.00559,1.46122
202,0.801269,0.664324
203,2.53725,1.09684
204,5.04827,1.08376
205,0.578106,1.07058
206,1.84727,1.19891
207,1.87709,1.39284
208,1.34241,1.37163
209,3.6354,1.15541
210,8.63677,1.41212
211,3.88949,0.93561
212,3.75077,1.19786
213,4.00482,1.23091
214,9.35625,1.3613
215,0.660102,0.999724
216,4.79353,1.40188
217,4.00306,1.09721
218,3.83285,1.21355
219,2.35875,1.33199
220,1.09027,0.819042
221,2.25791,1.01391
222,3.45597,1.28228
223,2.52806,1.09433
224,3.16443,1.16353
225,1.73089,1.37437
226,7.78034,1.29559
227,4.36192,1.35196
228,1.27841,1.18232
229,3.70616,1.15961
230,4.01553,1.36478
231,2.77885,0.954487
232,3.15577,1.41601
