frame,rot_deg,trans_err
0,112.052,1.25096
1,0.383504,0.616687
2,0.63965,0.872251
3,0.94188,1.19175
4,0.186561,0.981548
5,3.14677,0.924564
6,0.742478,1.61526
7,1.87872,1.19279
8,0.25145,0.727729
9,0.469511,1.33419
10,0.345394,0.534502
11,1.36313,0.738442
12,4.41285,1.03619
13,0.0862706,0.458327
14,4.47526,1.76404
15,0.112786,0.385734
16,1.90599,1.96294
17,1.58898,1.46464
18,1.4972,0.289276
19,1.6648,1.37016
20,12.3595,0.920807
21,0.703001,0.13851
22,1.03438,0.899714
23,2.83038,0.647679
24,0.55484,1.91204
25,2.56544,0.502421
26,0.337397,0.608988
27,0.898334,0.278967
28,0.751672,0.50869
29,0.404673,0.972087
30,1.50174,1.59971
31,0.695852,1.88398
32,0.444325,1.95407
33,0.607604,0.435003
34,11.6586,1.9601
35,1.45001,1.97045
36,0.728209,0.969329
37,0.703366,1.89198
38,0.848561,0.496981
39,1.09054,0.367247
40,1.59096,1.92509
41,2.59133,0.980581
42,1.46332,0.294743
43,5.96389,0.590121
44,1.76327,1.46181
45,0.540319,0.467498
46,1.66961,1.12346
47,0.208586,0.116427
48,0.317734,0.867352
49,0.951185,1.45495
50,1.75153,0.936868
51,1.70522,1.78064
52,1.20209,1.33843
53,0.415103,0.964846
54,1.84854,nan
55,1.66951,1.20771
56,1.75896,1.11949
57,0.474795,nan
58,1.93583,0.717738
59,0.516297,0.626405
60,1.23559,0.340566
61,1.02488,0.637435
62,2.80255,1.78574
63,2.99942,1.08461
64,0.664536,0.490408
65,1.89318,0.114252
66,3.20284,1.9601
67,0.373204,0.865328
68,2.45492,0.449836
69,1.65983,0.743708
70,0.598985,0.0707604
71,0.518329,0.375366
72,2.69383,0.890542
73,1.17943,0.688718
74,1.64713,0.747474
75,1.57908,0.808791
76,4.38083,1.41423
77,0.708962,1.1936
78,0.977199,1.25734
79,1.22635,0.197172
80,0.846384,1.02082
81,1.4734,1.99811
82,0.0996367,0.945979
83,0.868044,0.406021
84,0.196787,0.354705
85,2.37722,0.445301
86,0.630967,0.325355
87,0.247477,0.238583
88,0.691841,0.360916
89,9.89545,0.705805
90,0.267944,0.537427
91,0.948762,1.96146
92,1.61922,0.298986
93,3.12841,0.151508
94,0.590157,0.242982
95,1.81354,1.81628
96,1.72924,1.88065
97,0.195169,0.567557
98,0.615512,0.381591
99,2.69892,1.90201
100,0.723307,1.97929
101,0.817586,0.108673
102,3.22455,1.75932
103,0.791419,0.553919
104,2.55728,0.818287
105,0.199916,0.199437
106,0.222255,0.147982
107,1.11536,0.21686
108,0.485465,0.278116
109,1.3951,0.788195
110,1.27806,0.544536
111,1.25665,1.99455
112,2.10529,1.72155
113,2.04457,1.91977
114,2.68126,1.81682
115,0.541578,0.498476
116,0.225378,0.300055
117,1.07684,1.72193
118,1.10818,0.708693
119,2.15432,0.859884
120,0.138946,0.620857
121,3.35082,0.910207
122,1.4546,1.70594
123,0.924544,0.824596
124,0.628901,0.948459
125,0.945695,1.146
126,0.768695,0.945974
127,0.0737603,0.755583
128,0.0173012,0.242077
129,0.325106,0.0548093
130,2.6778,0.157513
131,1.46255,0.22318
132,1.24468,0.488288
133,0.18529,0.52198
134,1.45193,1.81013
135,1.57325,0.914342
136,0.564,0.336727
137,1.53759,1.3011
138,1.985,1.0802
139,1.03584,0.765819
140,0.351752,0.744238
141,0.175161,0.311019
142,0.169231,0.214112
143,7.48818,1.74754
144,1.7984,1.97884
145,0.40047,0.344146
146,2.98777,0.761274
147,0.430185,0.815894
148,3.55112,1.73916
149,0.850042,0.323237
150,0.535065,1.02485
151,0.53261,1.04933
152,0.836187,1.01535
153,1.85159,0.924659
154,2.96637,1.98592
155,0.941086,0.155184
156,0.635387,0.91696
157,2.64823,0.783867
158,2.96277,0.62053
159,2.8943,0.179362
160,0.825596,1.06231
161,2.83858,0.65094
162,0.846648,1.8203
163,0.615477,1.38503
164,0.546784,1.33211
165,3.02419,1.79888
166,0.660159,0.843019
167,0.980246,1.65166
168,2.11824,0.854258
169,0.338312,0.55993
170,0.3673,0.569138
171,0.42557,0.429356
172,0.904603,1.96681
173,0.691851,0.498921
174,0.140379,0.702353
175,0.676422,0.731213
176,1.08133,0.551473
177,0.857741,0.718966
178,0.205052,0.21524
179,0.318861,0.867655
180,0.722144,1.96306
181,0.669893,1.96736
182,0.95718,0.58036
183,0.669866,0.865936
184,3.57678,1.87101
185,0.672321,1.91503
186,4.87965,0.982721
187,2.61729,1.8895
188,2.85993,1.84231
189,1.24945,1.58976
190,0.378323,0.602426
191,1.63017,0.500868
192,3.6799,0.629215
193,1.19207,0.315648
194,0.421123,0.686634
195,0.838665,0.68057
196,0.0922012,1.2112
197,0.37609,0.247316
198,3.93116,0.671531
199,0.500739,0.786062
200,0.0490117,0.698073
201,1.64052,1.46311
202,6.72335,1.63457
203,2.72306,0.20469
204,1.07667,1.89756
205,0.590314,0.456637
206,0.608544,1.26038
207,4.56946,1.49152
208,1.41249,0.733703
209,1.82504,1.9172
210,1.3891,0.907716
211,1.19627,1.84838
212,0.721558,0.111145
213,0.820747,nan
214,1.51367,0.744859
215,0.613439,0.519046
216,0.565972,0.828066
217,1.73081,1.95579
218,0.474811,0.939875
219,0.406977,0.715986
220,0.630612,0.403053
221,0.732738,0.62454
222,0.498817,0.213254
223,0.335233,0.388861
224,1.54676,0.602209
225,0.686866,0.33973
226,0.356338,0.513701
227,0.281757,0.177302
228,0.180387,0.304382
229,0.933479,1.74393
230,0.677852,0.773994
231,0.985578,0.811108
232,0.24862,0.987906
233,0.512007,0.239051
234,3.25533,0.475992
235,0.475781,0.654425
236,0.638716,0.902793
237,6.98589,1.99969
238,2.2869,0.835443
239,0.809549,0.867981
240,0.922178,0.750555
241,1.65367,0.470877
242,1.74907,0.514703
243,0.511164,0.74181
244,2.39846,0.227193
245,0.301122,0.899576
246,1.85927,1.39945
247,0.585528,0.446889
248,1.35362,1.4001
249,0.82724,0.154421
250,0.961655,1.36736
251,0.463543,0.139988
252,0.449184,0.19539
253,0.775333,1.21156
254,0.966475,1.27721
255,2.12034,0.0879201
256,0.699839,0.246286
257,0.168625,0.189141
258,1.21963,1.37133
259,0.708523,1.25307
260,1.40338,0.887688
261,1.01269,1.30157
262,2.00601,1.86819
263,0.650968,1.67952
264,0.379232,0.583345
265,0.250066,1.09882
266,0.138237,0.585576
267,0.251374,1.98559
268,1.7374,1.53306
269,0.0993067,0.456521
270,1.00127,1.01818
271,1.10247,0.322561
272,0.135921,0.104446
273,0.836908,0.943879
274,0.524982,0.743519
275,1.76484,1.55872
276,0.125556,0.907807
277,1.74713,1.69945
278,0.146568,1.09135
279,1.32511,1.83854
280,3.76026,0.62396
281,0.506885,0.427718
282,0.626813,1.63167
283,0.947421,1.58409
284,2.24235,1.7412
285,0.222386,0.605401
286,0.945374,1.04171
287,2.88809,1.9949
288,0.721648,1.01704
289,1.11591,1.96602
290,3.59595,0.696333
291,0.518425,0.900029
292,0.16584,0.142318
293,0.672582,0.62549
294,0.318213,0.131547
295,0.515983,0.838247
296,0.614948,0.151321
297,3.66181,1.03648
298,0.310189,0.286321
299,0.778276,1.68532
300,0.207901,0.19567
301,3.80045,0.823871
302,0.100482,0.298408
303,0.149697,0.217821
304,2.75117,0.232089
305,1.7407,0.986321
306,0.545281,0.520011
307,0.378704,0.79044
308,2.91458,1.29796
309,1.11498,1.56157
310,1.87583,1.74093
311,6.23282,1.62911
312,0.317766,0.191853
313,0.351808,0.285995
314,0.353948,1.00001
315,1.43127,1.9612
316,1.43738,1.6689
317,0.0381902,0.21423
318,1.11389,0.368648
319,2.43156,1.97431
320,0.767929,1.96489
321,0.488656,1.60844
322,0.575948,0.500371
323,0.747907,0.942793
324,1.42483,1.33819
325,1.71262,0.676843
326,0.900287,0.602886
327,0.382555,1.19368
328,0.511266,0.501854
329,0.26709,0.241596
330,0.557768,0.464231
331,4.23113,1.30568
332,2.07772,0.377893
333,8.34509,1.83033
334,2.30809,1.94567
335,0.252502,0.800285
336,0.237065,1.18305
337,1.13797,0.310647
